Filename,ImageID,ObjectID,X,Y,Area,Perimeter,Major Axis,Minor Axis,Circularity,Aspect Ratio,Shape mode,Distance from cluster center,Probability of shape mode 1,Probability of shape mode 2,Probability of shape mode 3,Probability of shape mode 4,Probability of shape mode 5
xy011c1.tiff,11,2,256,266,12867,963.9747468305832,176.6935953458998,104.63712411071229,0.1740026454908324,1.6886319922071584,4.0,5.5,0.2005,0.2327,0.1932,0.1775,0.1961
xy011c1.tiff,11,3,551,406,3006,418.6528496361356,94.9430637741019,53.881818201301314,0.21552156745988613,1.7620612470684758,5.0,8.09,0.1966,0.208,0.182,0.1936,0.2198
xy011c1.tiff,11,4,947,452,4525,444.20310216782974,158.40467537621305,47.084165812850536,0.28818095297579305,3.3642876037315315,2.0,4.47,0.2307,0.2027,0.2186,0.1575,0.1904
xy011c1.tiff,11,5,885,577,12286,696.2935059634514,153.05906825853722,111.3239531561287,0.3184459175074844,1.3748978896201811,5.0,4.41,0.1787,0.2028,0.1955,0.2035,0.2196
xy011c1.tiff,11,6,1048,623,2130,185.09545442950497,69.36986689584117,39.939729557209155,0.7812642656010178,1.736863711019291,2.0,2.18,0.2118,0.2067,0.2002,0.1876,0.1937
xy011c1.tiff,11,7,641,741,5633,317.4213562373095,104.28428995197687,72.22549587470186,0.7025501477272486,1.4438708753608451,4.0,1.75,0.1616,0.2386,0.2063,0.2117,0.1817
xy011c1.tiff,11,8,1222,871,2114,370.93102422918764,75.13434238688345,44.65799194018012,0.19307610522640445,1.6824388899421794,2.0,7.09,0.2349,0.1984,0.1864,0.1838,0.1965
xy012c1.tiff,12,1,824,302,6161,456.10259710444143,108.44850544064629,78.4755578749356,0.3721653896308553,1.3819399106850287,5.0,3.81,0.1981,0.1716,0.1895,0.2028,0.238
xy012c1.tiff,12,2,758,471,9150,618.9615075012371,143.2973479142249,87.44046075033968,0.3001260378715766,1.6387990946590278,5.0,5.49,0.1849,0.1794,0.2125,0.2024,0.2208
xy012c1.tiff,12,3,393,511,10495,593.3990616607231,135.3234153894315,112.03943125979049,0.3745403366175615,1.2078195494910309,4.0,4.44,0.2019,0.237,0.1735,0.2025,0.1851
xy013c1.tiff,13,1,689,363,6176,963.004184082106,148.57196503305505,82.72383730909081,0.08368754024907861,1.7959994345756485,1.0,10.75,0.2021,0.197,0.1979,0.2029,0.2001
xy013c1.tiff,13,2,313,405,5097,299.3208511739212,83.21382258373873,78.39869866810427,0.7149086544303412,1.0614184163441154,1.0,3.43,0.1898,0.1725,0.1802,0.2504,0.2071
xy013c1.tiff,13,3,371,768,16520,952.0397179880389,183.6231523030374,143.63683650568115,0.2290391762002633,1.2783848264144602,5.0,4.84,0.1741,0.2068,0.1936,0.1964,0.2291
xy013c1.tiff,13,4,476,960,2512,331.33304448274095,101.56029620545328,35.88157618132061,0.2875411444499636,2.8304301821145743,4.0,4.37,0.1826,0.2453,0.2059,0.1676,0.1986
xy015c1.tiff,15,1,388,545,5808,352.6345596729059,116.51234094671234,68.3811138339606,0.5869305647463396,1.7038672582845236,3.0,2.31,0.1612,0.2146,0.2393,0.2076,0.1772
